name,title,70:69:5a:aa:4e:4e:,b0:26:80:83:32:ce:,70:69:5a:a6:40:21:,70:69:5a:a6:11:21:,b0:26:80:83:32:c1:,70:69:5a:aa:4e:41:,70:69:5a:aa:48:41:,70:69:5a:aa:48:4e:,70:69:5a:aa:4e:4d:,b0:26:80:83:32:cd:,70:69:5a:a6:11:22:,70:69:5a:a6:40:22:,b0:26:80:83:32:c2:,70:69:5a:aa:4e:42:,70:69:5a:aa:48:42:,70:69:5a:aa:48:4d:,70:69:5a:a6:3a:8f:,b0:26:80:83:32:cf:,70:69:5a:a6:40:20:,70:69:5a:a6:11:20:,b0:26:80:83:32:c0:,70:69:5a:aa:4e:40:,70:69:5a:aa:48:40:,70:69:5a:aa:48:4f:,70:69:5a:aa:4e:4f:,70:69:5a:a6:40:2e:,70:69:5a:a6:11:2e:,70:69:5a:a6:40:2f:,70:69:5a:a6:11:2f:,70:69:5a:a6:11:2d:,b0:26:80:c9:7b:6e:,b0:26:80:83:37:0e:,b0:26:80:c9:7b:61:,b0:26:80:83:37:01:,b0:26:80:aa:70:a1:,b0:26:80:c9:7b:6d:,70:69:5a:a6:40:2d:,b0:26:80:83:37:0d:,b0:26:80:c9:7b:62:,b0:26:80:83:37:02:,b0:26:80:c9:7b:6f:,b0:26:80:83:37:0f:,70:69:5a:63:31:cf:,b0:26:80:c9:7b:60:,b0:26:80:83:37:00:,70:69:5a:8a:4e:60:,70:69:5a:a6:3a:8e:,70:69:5a:63:31:ce:,b0:26:80:83:33:8e:,b0:26:80:83:33:81:,70:69:5a:a6:3a:81:,70:69:5a:63:31:c1:,70:69:5a:a6:3a:8d:,70:69:5a:92:f7:8d:,70:69:5a:63:31:cd:,b0:26:80:83:33:8d:,b0:26:80:83:33:82:,70:69:5a:a6:3a:82:,70:69:5a:63:31:c2:,70:69:5a:a6:37:82:,b0:26:80:83:33:8f:,b0:26:80:83:33:80:,70:69:5a:a6:3a:80:,70:69:5a:63:31:c0:,70:69:5a:a6:37:80:,e8:65:49:db:4f:f1:,b0:26:80:a9:fb:ee:,70:69:5a:92:f7:8e:,b0:26:80:c9:83:c1:,b0:26:80:aa:71:e1:,70:69:5a:92:f7:81:,b0:26:80:aa:60:81:,70:69:5a:a6:3b:01:,b0:26:80:a9:fb:e1:,70:69:5a:a6:47:e1:,b0:26:80:a9:fb:ed:,b0:26:80:c9:83:c2:,b0:26:80:aa:60:82:,70:69:5a:a6:3b:02:,70:69:5a:92:f7:82:,b0:26:80:83:35:02:,e8:65:49:db:4f:f2:,b0:26:80:a9:fb:e2:,70:69:5a:a6:47:e2:,b0:26:80:a9:fb:ef:,70:69:5a:92:f7:8f:,b0:26:80:c9:83:c0:,b0:26:80:aa:71:e0:,b0:26:80:aa:60:80:,70:69:5a:a6:3b:00:,b0:26:80:a9:fb:e0:,70:69:5a:a6:47:e0:,70:69:5a:92:f7:80:,70:69:5a:6e:a3:41:,70:69:5a:6e:a3:4e:,70:69:5a:6e:a3:4d:,70:69:5a:6e:a3:42:,70:69:5a:6e:a3:4f:,70:69:5a:6e:a3:40:
5103,5103-AFT-N,-83,0,-81,0,0,-89,0,0,-82,0,0,-81,0,-86,0,0,0,0,-84,0,0,-86,0,0,-82,-84,0,-84,0,0,-67,-84,-71,-81,0,-67,-85,-83,-72,-81,-67,-83,-54,-67,-88,0,-89,-52,-67,-67,-89,-49,-88,-74,-52,-66,-66,-90,-48,0,-66,-67,-87,-49,0,0,0,-74,0,0,-78,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,-75,0,0,0,0,0,0,-78,0,0,0,0,0,0
5103,5103-AFT-W,-83,0,-81,0,0,-89,0,0,-82,0,0,-81,0,-86,0,0,0,0,-84,0,0,-86,0,0,-82,-84,0,-84,0,0,-67,-84,-71,-81,0,-67,-85,-83,-72,-81,-67,-83,-54,-67,-88,0,-89,-52,-67,-67,-89,-49,-88,-74,-52,-66,-66,-90,-48,0,-66,-67,-87,-49,0,0,0,-74,0,0,-78,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,-75,0,0,0,0,0,0,-78,0,0,0,0,0,0
5104,5104-AFT-W,-83,0,-81,0,0,-89,0,0,-82,0,0,-81,0,-86,0,0,0,0,-84,0,0,-86,0,0,-82,-84,0,-84,0,0,-67,-84,-71,-81,0,-67,-85,-83,-72,-81,-67,-83,-54,-67,-88,0,-89,-52,-67,-67,-89,-49,-88,-74,-52,-66,-66,-90,-48,0,-66,-67,-87,-49,0,0,0,-74,0,0,-78,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,-75,0,0,0,0,0,0,-78,0,0,0,0,0,0
5104,5104-AFT-S,-83,0,-81,0,0,-89,0,0,-82,0,0,-81,0,-86,0,0,0,0,-84,0,0,-86,0,0,-82,-84,0,-84,0,0,-67,-84,-71,-81,0,-67,-85,-83,-72,-81,-67,-83,-54,-67,-88,0,-89,-52,-67,-67,-89,-49,-88,-74,-52,-66,-66,-90,-48,0,-66,-67,-87,-49,0,0,0,-74,0,0,-78,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,-75,0,0,0,0,0,0,-78,0,0,0,0,0,0
5104,5104-AFT-E,-82,0,-82,0,0,-83,0,0,-83,0,0,-81,0,-86,0,0,0,0,-82,0,0,-86,0,0,-83,-86,0,-84,0,0,-67,-79,-69,-81,0,-67,-86,-79,-68,-81,-67,-83,-55,-67,0,0,-89,-55,-68,-69,-86,-43,-88,-80,-55,-68,-69,-89,-44,0,-68,-70,-87,-44,0,0,0,-80,0,-91,-78,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,-80,0,-92,0,0,0,0,-79,0,0,0,0,0,0
5104,5104-AFT-N,-82,0,-82,0,0,-83,0,0,-83,0,0,-81,0,-86,0,0,0,0,-82,0,0,-86,0,0,-83,-86,0,-84,0,0,-67,-79,-69,-81,0,-67,-86,-79,-68,-81,-67,-83,-55,-67,0,0,-89,-55,-68,-69,-86,-43,-88,-80,-55,-68,-69,-89,-44,0,-68,-70,-87,-44,0,0,0,-80,0,-91,-78,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,-80,0,-92,0,0,0,0,-79,0,0,0,0,0,0
5105,5105-AFT-E,-82,0,-82,0,0,-83,0,0,-83,0,0,-81,0,-86,0,0,0,0,-82,0,0,-86,0,0,-83,-86,0,-84,0,0,-67,-79,-69,-81,0,-67,-86,-79,-68,-81,-67,-83,-55,-67,0,0,-89,-55,-68,-69,-86,-43,-88,-80,-55,-68,-69,-89,-44,0,-68,-70,-87,-44,0,0,0,-80,0,-91,-78,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,-80,0,-92,0,0,0,0,-79,0,0,0,0,0,0
5105,5105-AFT-S,-85,0,-86,0,0,-83,0,0,-85,0,0,-87,0,0,0,0,0,0,-86,0,0,0,0,0,-85,-80,0,-80,0,0,-71,-87,-71,-84,0,-70,-80,-87,-69,-85,-71,-87,-55,-70,-85,0,-91,-55,-64,-69,-90,-45,-89,-74,-55,-71,-70,-89,-45,0,-63,-70,-90,-45,0,0,0,-74,0,-91,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,-74,0,-92,0,0,0,0,-79,0,0,0,0,0,0
5105,5105-AFT-W,-85,0,-86,0,0,-83,0,0,-85,0,0,-87,0,0,0,0,0,0,-86,0,0,0,0,0,-85,-80,0,-80,0,0,-71,-87,-71,-84,0,-70,-80,-87,-69,-85,-71,-87,-55,-70,-85,0,-91,-55,-64,-69,-90,-45,-89,-74,-55,-71,-70,-89,-45,0,-63,-70,-90,-45,0,0,0,-74,0,-91,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,-74,0,-92,0,0,0,0,-79,0,0,0,0,0,0
5105,5105-AFT-N,-85,0,-86,0,0,-83,0,0,-85,0,0,-87,0,0,0,0,0,0,-86,0,0,0,0,0,-85,-80,0,-80,0,0,-71,-87,-71,-84,0,-70,-80,-87,-69,-85,-71,-87,-55,-70,-85,0,-91,-55,-64,-69,-90,-45,-89,-74,-55,-71,-70,-89,-45,0,-63,-70,-90,-45,0,0,0,-74,0,-91,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,-74,0,-92,0,0,0,0,-79,0,0,0,0,0,0
